Order_ID,Order_Date,Customer_ID,Customer_City,Region,Warehouse_ID,Product_ID,Product_Category,Quantity,Unit_Price,Order_Value,Inventory_Before,Inventory_After,Processing_Time_Hours,Packing_Time_Hours,Shipping_Method,Shipping_Cost,Distance_KM,Expected_Delivery_Days,Actual_Delivery_Days,Delivery_Status,Priority,Return_Status,Warehouse_Capacity,Month,Delivery_Gap_Days,Fulfillment_Hours,Low_Stock_Flag
ORD10001,2026-08-24,CUST3905,Pune,West,WH-Central,P2585,Toys,1,899.99,899.99,104,103,7.78,2.71,Express,265.68,393.7,2,3,Delayed,High,No,84.3,2026-08-01,1,10.49,No
ORD10002,2026-03-25,CUST2479,Chennai,South,WH-East,P2452,Accessories,1,884.08,884.08,79,78,6.93,2.25,Same Day,412.52,387.0,1,1,On Time,Standard,No,88.0,2026-03-01,0,9.18,No
ORD10003,2026-02-22,CUST5888,Bhubaneswar,East,WH-Central,P2946,Home & Kitchen,3,3185.48,9556.44,62,59,14.78,2.84,Standard,264.09,538.6,4,6,Delayed,Urgent,No,85.6,2026-02-01,2,17.619999999999997,No
ORD10004,2026-04-14,CUST3774,Bengaluru,South,WH-West,P2571,Furniture,1,2794.76,2794.76,57,56,9.61,2.47,Express,298.4,475.4,2,3,Delayed,Urgent,No,71.1,2026-04-01,1,12.08,No
ORD10005,2026-01-29,CUST2060,Delhi,North,WH-South,P1525,Home & Kitchen,2,4312.0,8624.0,135,133,0.5,2.58,Standard,195.38,279.7,4,6,Delayed,Urgent,No,68.2,2026-01-01,2,3.08,No
ORD10006,2026-01-27,CUST5030,Pune,West,WH-West,P1633,Sports,3,930.21,2790.63,171,168,2.85,1.84,Standard,166.61,138.7,4,4,On Time,Standard,No,65.1,2026-01-01,0,4.69,No
ORD10007,2026-01-12,CUST4582,Jaipur,North,WH-West,P2831,Home & Kitchen,1,666.06,666.06,136,135,7.00,1.44,Economy,132.32,475.8,6,7,Delayed,Standard,No,83.2,2026-01-01,1,8.44,No
ORD10008,2026-05-25,CUST1767,Lucknow,North,WH-Central,P1294,Grocery,1,628.28,628.28,94,93,6.46,2.21,Standard,210.24,490.8,4,6,Delayed,Standard,No,78.8,2026-05-01,2,8.67,No
ORD10009,2026-07-18,CUST2844,Ahmedabad,West,WH-South,P1489,Fashion,2,807.38,1614.76,120,118,4.23,1.6,Standard,296.18,654.8,4,6,Delayed,Standard,No,65.1,2026-07-01,2,5.83,No
ORD10010,2026-06-09,CUST5091,Delhi,North,WH-South,P2015,Books,4,419.85,1679.4,75,71,9.28,1.14,Same Day,652.17,613.7,1,3,Delayed,High,No,66.4,2026-06-01,2,10.42,No
